"Month","Year","averagestormflow","day","date"
7,1968,1754.67741935484,"01",1968-07-01
7,1969,8580.79765395894,"01",1969-07-01
7,1970,5376.53367289191,"01",1970-07-01
7,1971,2230.47255234861,"01",1971-07-01
7,1972,41438.2315668203,"01",1972-07-01
7,1973,1899.26909832033,"01",1973-07-01
7,1974,6954.10557184751,"01",1974-07-01
7,1975,1361.34408602151,"01",1975-07-01
7,1976,5873.88499298738,"01",1976-07-01
7,1977,15994.2815249267,"01",1977-07-01
7,1978,8388.44086021505,"01",1978-07-01
7,1979,4675.11520737327,"01",1979-07-01
7,1980,9292.90322580645,"01",1980-07-01
7,1981,5170.24577572965,"01",1981-07-01
7,1982,10623.1643625192,"01",1982-07-01
7,1983,6156.55529953917,"01",1983-07-01
7,1984,13883.9605734767,"01",1984-07-01
7,1985,12070.9139784946,"01",1985-07-01
7,1986,16796.3172043011,"01",1986-07-01
7,1987,14244.5321962675,"01",1987-07-01
7,1988,2388.28784119107,"01",1988-07-01
7,1989,7125.82035595106,"01",1989-07-01
7,1990,24804.4922341697,"01",1990-07-01
7,1991,2155.92375366569,"01",1991-07-01
7,1992,9713.56708742403,"01",1992-07-01
7,1993,2304.41820276498,"01",1993-07-01
7,1994,4129.20821114369,"01",1994-07-01
7,1995,3065.13978494624,"01",1995-07-01
7,1996,20209.2691179788,"01",1996-07-01
7,1997,2652.50384024578,"01",1997-07-01
7,1998,5377.04404466501,"01",1998-07-01
7,1999,1766.04273146209,"01",1999-07-01
7,2000,4574.47171575503,"01",2000-07-01
7,2001,7243.54838709677,"01",2001-07-01
7,2002,3540.01955034213,"01",2002-07-01
7,2003,21985.788530466,"01",2003-07-01
7,2004,10248.1556802244,"01",2004-07-01
7,2005,2975.32803490728,"01",2005-07-01
7,2006,13944.3197755961,"01",2006-07-01
7,2007,3529.75953079179,"01",2007-07-01
7,2008,11615.5706939157,"01",2008-07-01
7,2009,3172.83504398827,"01",2009-07-01
7,2010,2898.12107247591,"01",2010-07-01
7,2011,2663.29032258065,"01",2011-07-01
7,2012,5755.46082949309,"01",2012-07-01
7,2013,15507.8209993675,"01",2013-07-01
7,2014,6546.08294930876,"01",2014-07-01
7,2015,15516.4076246334,"01",2015-07-01
7,2016,4724.62086300796,"01",2016-07-01
7,2017,18557.1952241307,"01",2017-07-01
7,2018,6299.12655086849,"01",2018-07-01
7,2019,12984.5500848896,"01",2019-07-01
7,2020,2278.96774193548,"01",2020-07-01
7,2021,16125.3456221198,"01",2021-07-01
8,1968,1774.67741935484,"01",1968-08-01
8,1969,6714.93548387097,"01",1969-08-01
8,1970,4328.35125448029,"01",1970-08-01
8,1971,6394.66723259762,"01",1971-08-01
8,1972,2175.17724211273,"01",1972-08-01
8,1973,4758.49836122132,"01",1973-08-01
8,1974,2681.72043010753,"01",1974-08-01
8,1975,5046.08780014552,"01",1975-08-01
8,1976,3950.32258064516,"01",1976-08-01
8,1977,13717.6307007786,"01",1977-08-01
8,1978,5762.92803970223,"01",1978-08-01
8,1979,6390.87941628264,"01",1979-08-01
8,1980,18478.920056101,"01",1980-08-01
8,1981,3721.22887864823,"01",1981-08-01
8,1982,3074.15770609319,"01",1982-08-01
8,1983,3094.12442396313,"01",1983-08-01
8,1984,19585.9677419355,"01",1984-08-01
8,1985,1920.29441884281,"01",1985-08-01
8,1986,2932.82258064516,"01",1986-08-01
8,1987,4637.83154121864,"01",1987-08-01
8,1988,1032.48387096774,"01",1988-08-01
8,1989,5885.33733133433,"01",1989-08-01
8,1990,3218.21385902031,"01",1990-08-01
8,1991,1232.47311827957,"01",1991-08-01
8,1992,10280.6264609631,"01",1992-08-01
8,1993,2170.78341013825,"01",1993-08-01
8,1994,26707.7419354839,"01",1994-08-01
8,1995,3895.45161290323,"01",1995-08-01
8,1996,10505.7681028649,"01",1996-08-01
8,1997,6070.76203833567,"01",1997-08-01
8,1998,3374.57661290323,"01",1998-08-01
8,1999,1522.99539170507,"01",1999-08-01
8,2000,11851.1376032414,"01",2000-08-01
8,2001,3664.47368421053,"01",2001-08-01
8,2002,2005.52419354839,"01",2002-08-01
8,2003,10849.2517921147,"01",2003-08-01
8,2004,13305.9841047218,"01",2004-08-01
8,2005,2399.78703772053,"01",2005-08-01
8,2006,5948.46639335419,"01",2006-08-01
8,2007,14143.4017595308,"01",2007-08-01
8,2008,3499.4476211026,"01",2008-08-01
8,2009,10850.5739421868,"01",2009-08-01
8,2010,2270.02143018272,"01",2010-08-01
8,2011,3375.95161290323,"01",2011-08-01
8,2012,3394.70046082949,"01",2012-08-01
8,2013,14344.6679316888,"01",2013-08-01
8,2014,9909.32923707117,"01",2014-08-01
8,2015,1025.8064516129,"01",2015-08-01
8,2016,4873.88353581902,"01",2016-08-01
8,2017,6139.9706744868,"01",2017-08-01
8,2018,6550.54377880184,"01",2018-08-01
8,2019,2168.81154499151,"01",2019-08-01
8,2020,4117.27047146402,"01",2020-08-01
8,2021,6903.07603686636,"01",2021-08-01
9,1968,1523,"01",1968-09-01
9,1969,1579.58333333333,"01",1969-09-01
9,1970,4634.09259259259,"01",1970-09-01
9,1971,15730.7749373434,"01",1971-09-01
9,1972,3568.71367521368,"01",1972-09-01
9,1973,1722.94949494949,"01",1973-09-01
9,1974,10313.7638888889,"01",1974-09-01
9,1975,17003.0831708902,"01",1975-09-01
9,1976,1485.98484848485,"01",1976-09-01
9,1977,5188.55012771392,"01",1977-09-01
9,1978,5034.3986013986,"01",1978-09-01
9,1979,8064.86559139785,"01",1979-09-01
9,1980,3125.46666666667,"01",1980-09-01
9,1981,9387.41666666667,"01",1981-09-01
9,1982,3665.17647058824,"01",1982-09-01
9,1983,1406.5,"01",1983-09-01
9,1984,2616.04248366013,"01",1984-09-01
9,1985,1948.91125541126,"01",1985-09-01
9,1986,3679.42105263158,"01",1986-09-01
9,1987,16098.2412280702,"01",1987-09-01
9,1988,3464.53529411765,"01",1988-09-01
9,1989,5970.23188405797,"01",1989-09-01
9,1990,9284,"01",1990-09-01
9,1991,1499.54444444444,"01",1991-09-01
9,1992,12969.7971014493,"01",1992-09-01
9,1993,5395.77777777778,"01",1993-09-01
9,1994,6510.78181818182,"01",1994-09-01
9,1995,1000.33333333333,"01",1995-09-01
9,1996,22090.6338461538,"01",1996-09-01
9,1997,2560.47101449275,"01",1997-09-01
9,1998,1366,"01",1998-09-01
9,1999,1065.45221445221,"01",1999-09-01
9,2000,5210.60016835017,"01",2000-09-01
9,2001,2104.87719298246,"01",2001-09-01
9,2002,2232.04166666667,"01",2002-09-01
9,2003,20501.6117216117,"01",2003-09-01
9,2004,59586.1507936508,"01",2004-09-01
9,2005,3965.11136536995,"01",2005-09-01
9,2006,10692.0726495727,"01",2006-09-01
9,2007,2780.83333333333,"01",2007-09-01
9,2008,2475.84615384615,"01",2008-09-01
9,2009,1647.77289377289,"01",2009-09-01
9,2010,1928.67571644042,"01",2010-09-01
9,2011,9930.23333333333,"01",2011-09-01
9,2012,3879.06896551724,"01",2012-09-01
9,2013,4506.8,"01",2013-09-01
9,2014,2988.40740740741,"01",2014-09-01
9,2015,2046.05128205128,"01",2015-09-01
9,2016,2905.77272727273,"01",2016-09-01
9,2017,1751.7,"01",2017-09-01
9,2018,44654.4118360417,"01",2018-09-01
9,2019,2965,"01",2019-09-01
9,2020,4326.15384615385,"01",2020-09-01
9,2021,11699.1388888889,"01",2021-09-01
10,1968,1949.75562072336,"01",1968-10-01
10,1969,1695.37634408602,"01",1969-10-01
10,1970,9792.72913466462,"01",1970-10-01
10,1971,2075.00256016385,"01",1971-10-01
10,1972,5618.88440860215,"01",1972-10-01
10,1973,5500.9649122807,"01",1973-10-01
10,1974,2300.4435483871,"01",1974-10-01
10,1975,13770.1911589008,"01",1975-10-01
10,1976,19484.8216501241,"01",1976-10-01
10,1977,5783.54838709677,"01",1977-10-01
10,1978,5389.27535113443,"01",1978-10-01
10,1979,28963.8397502601,"01",1979-10-01
10,1980,4707.7229601518,"01",1980-10-01
10,1981,12009.5825426945,"01",1981-10-01
10,1982,2201.42746248059,"01",1982-10-01
10,1983,2858.70967741935,"01",1983-10-01
10,1984,5116.60522273426,"01",1984-10-01
10,1985,3327.22873900293,"01",1985-10-01
10,1986,19701.8736357022,"01",1986-10-01
10,1987,3519.08064516129,"01",1987-10-01
10,1988,4389.19726095207,"01",1988-10-01
10,1989,10868.66359447,"01",1989-10-01
10,1990,11392.1146953405,"01",1990-10-01
10,1991,1155.54838709677,"01",1991-10-01
10,1992,5895.96774193548,"01",1992-10-01
10,1993,5506.53225806452,"01",1993-10-01
10,1994,5036.1935483871,"01",1994-10-01
10,1995,2022.09677419355,"01",1995-10-01
10,1996,23763.3064516129,"01",1996-10-01
10,1997,4101.64696453616,"01",1997-10-01
10,1998,1546.58602150538,"01",1998-10-01
10,1999,2757.44416873449,"01",1999-10-01
10,2000,4335.0146627566,"01",2000-10-01
10,2001,1620.29325513196,"01",2001-10-01
10,2002,3378.14516129032,"01",2002-10-01
10,2003,9162.21198156682,"01",2003-10-01
10,2004,5322.02764976958,"01",2004-10-01
10,2005,6512.01729780271,"01",2005-10-01
10,2006,18555.2522746071,"01",2006-10-01
10,2007,3012.90322580645,"01",2007-10-01
10,2008,1498.93738140417,"01",2008-10-01
10,2009,6618.77584780811,"01",2009-10-01
10,2010,4362.15456270485,"01",2010-10-01
10,2011,15797.8494623656,"01",2011-10-01
10,2012,8689.17459728917,"01",2012-10-01
10,2013,2014.70967741935,"01",2013-10-01
10,2014,5540.64516129032,"01",2014-10-01
10,2015,6404.43305642464,"01",2015-10-01
10,2016,14671.2903225806,"01",2016-10-01
10,2017,4233.40501792115,"01",2017-10-01
10,2018,20334.1689527954,"01",2018-10-01
10,2019,5298.44376634699,"01",2019-10-01
10,2020,2889.99402628435,"01",2020-10-01
10,2021,8940.2688172043,"01",2021-10-01
11,1968,8633.42160737813,"01",1968-11-01
11,1969,5965.81944444444,"01",1969-11-01
11,1970,13836.3736263736,"01",1970-11-01
11,1971,4324.66190476191,"01",1971-11-01
11,1972,14600.1041666667,"01",1972-11-01
11,1973,15553.6315789474,"01",1973-11-01
11,1974,11349.6153846154,"01",1974-11-01
11,1975,9333.33333333333,"01",1975-11-01
11,1976,10121.7410714286,"01",1976-11-01
11,1977,6994.71153846154,"01",1977-11-01
11,1978,4611.57456140351,"01",1978-11-01
11,1979,11687.7777777778,"01",1979-11-01
11,1980,8233.07843137255,"01",1980-11-01
11,1981,6288.1862745098,"01",1981-11-01
11,1982,8075.05244755245,"01",1982-11-01
11,1983,8965.22580645161,"01",1983-11-01
11,1984,23185.7936507937,"01",1984-11-01
11,1985,48727.5,"01",1985-11-01
11,1986,22489.5752895753,"01",1986-11-01
11,1987,3535.65833333333,"01",1987-11-01
11,1988,16812.9275362319,"01",1988-11-01
11,1989,13915.7142857143,"01",1989-11-01
11,1990,6593.14814814815,"01",1990-11-01
11,1991,2989,"01",1991-11-01
11,1992,14153.3333333333,"01",1992-11-01
11,1993,20193.0555555556,"01",1993-11-01
11,1994,12455,"01",1994-11-01
11,1995,8509.55555555555,"01",1995-11-01
11,1996,28171.25,"01",1996-11-01
11,1997,19460.373015873,"01",1997-11-01
11,1998,1214.61111111111,"01",1998-11-01
11,1999,11239.6923076923,"01",1999-11-01
11,2000,3234.14393939394,"01",2000-11-01
11,2001,2190.36363636364,"01",2001-11-01
11,2002,7639.33333333333,"01",2002-11-01
11,2003,28380.9523809524,"01",2003-11-01
11,2004,7323.87844611529,"01",2004-11-01
11,2005,14948.7407407407,"01",2005-11-01
11,2006,25067.7777777778,"01",2006-11-01
11,2007,6386.25925925926,"01",2007-11-01
11,2008,2882.78057889823,"01",2008-11-01
11,2009,6400.12820512821,"01",2009-11-01
11,2010,10615.4757575758,"01",2010-11-01
11,2011,23593.6507936508,"01",2011-11-01
11,2012,24489.7283950617,"01",2012-11-01
11,2013,8441.66666666667,"01",2013-11-01
11,2014,4680,"01",2014-11-01
11,2015,8266.44565217391,"01",2015-11-01
11,2016,7027.59523809524,"01",2016-11-01
11,2017,29533.4845679012,"01",2017-11-01
11,2018,14268.1977671451,"01",2018-11-01
11,2019,14401.4414414414,"01",2019-11-01
11,2020,7089.88888888889,"01",2020-11-01
11,2021,10844.3333333333,"01",2021-11-01
12,1968,17026.679316888,"01",1968-12-01
12,1969,20920.497311828,"01",1969-12-01
12,1970,16673.593879239,"01",1970-12-01
12,1971,27142.3963133641,"01",1971-12-01
12,1972,27074.7053349876,"01",1972-12-01
12,1973,23655.857385399,"01",1973-12-01
12,1974,20363.2754342432,"01",1974-12-01
12,1975,17580.6451612903,"01",1975-12-01
12,1976,14028.4263526199,"01",1976-12-01
12,1977,35307.6923076923,"01",1977-12-01
12,1978,27999.5967741935,"01",1978-12-01
12,1979,14926.3440860215,"01",1979-12-01
12,1980,11705.5107526882,"01",1980-12-01
12,1981,14748.3870967742,"01",1981-12-01
12,1982,16069.9154806385,"01",1982-12-01
12,1983,27849.8736435261,"01",1983-12-01
12,1984,21171.1143695015,"01",1984-12-01
12,1985,14889.314516129,"01",1985-12-01
12,1986,26691.1944202267,"01",1986-12-01
12,1987,18519.2396313364,"01",1987-12-01
12,1988,12631.3782991202,"01",1988-12-01
12,1989,3894.25984954737,"01",1989-12-01
12,1990,39613.2258064516,"01",1990-12-01
12,1991,18387.5576036866,"01",1991-12-01
12,1992,20152.4225423945,"01",1992-12-01
12,1993,23033.3333333333,"01",1993-12-01
12,1994,26287.6099706745,"01",1994-12-01
12,1995,13466.1290322581,"01",1995-12-01
12,1996,24620.7506203474,"01",1996-12-01
12,1997,10216.2944582299,"01",1997-12-01
12,1998,4150.20430107527,"01",1998-12-01
12,1999,13712.5558312655,"01",1999-12-01
12,2000,18101.2096774194,"01",2000-12-01
12,2001,16115.4838709677,"01",2001-12-01
12,2002,19314.6129032258,"01",2002-12-01
12,2003,20988.2098546615,"01",2003-12-01
12,2004,18102.1222410866,"01",2004-12-01
12,2005,27141.2186379928,"01",2005-12-01
12,2006,7251.41439205955,"01",2006-12-01
12,2007,32748.5663082437,"01",2007-12-01
12,2008,44881.2425328554,"01",2008-12-01
12,2009,24758.0353233105,"01",2009-12-01
12,2010,39768.3202997719,"01",2010-12-01
12,2011,22597.4290565123,"01",2011-12-01
12,2012,28358.3717357911,"01",2012-12-01
12,2013,35651.6129032258,"01",2013-12-01
12,2014,16371.9165085389,"01",2014-12-01
12,2015,23615.3629032258,"01",2015-12-01
12,2016,20058.698156682,"01",2016-12-01
12,2017,10260.0806451613,"01",2017-12-01
12,2018,24360.1018675722,"01",2018-12-01
12,2019,29477.2952853598,"01",2019-12-01
12,2020,20758.2795698925,"01",2020-12-01
12,2021,6470.83333333333,"01",2021-12-01
